Andorra,UEFA,4,0
Cook Islands,OFC,0
Anguilla,CONCACAF,2,0
British Virgin Islands,CONCACAF,2,0
São Tomé and Príncipe,CAF,3,0
Eritrea,CAF,3,0
American Samoa,OFC,0
Palestine,AFC,2,0
Mongolia,AFC,2,0
Montserrat,CONCACAF,2,0
US Virgin Islands,CONCACAF,2,0
Turks and Caicos Islands,CONCACAF,2,0
Congo DR,CAF,3,0
Bhutan,AFC,2,0
Serbia and Montenegro,UEFA,4,0
Afghanistan,AFC,2,0
New Caledonia,OFC,0
Serbia,UEFA,4,0
Timor-Leste,AFC,2,0
Comoros,CAF,3,0
Netherlands Antilles,CONCACAF,2,0
Montenegro,UEFA,4,0
Curaçao,CONCACAF,2,0
South Sudan,CAF,3,0
Kosovo,UEFA,4,0
Gibraltar,UEFA,4,0
